	Motif_ID	TF_Names
542	M02635_2.00	Cebpb
543	M02636_2.00	Cebpb
544	M02646_2.00	Tcf7l2
545	M02651_2.00	Arid3a
546	M02655_2.00	Arnt
547	M02665_2.00	Rreb1
548	M02667_2.00	Mecom
549	M02669_2.00	Zfp423
550	M02680_2.00	Foxf1;Foxf2
551	M02681_2.00	Foxd2
552	M02686_2.00	Nkx2-5
553	M02687_2.00	Lhx3
554	M02688_2.00	Nobox
555	M02690_2.00	Pax2
556	M02708_2.00	Nr2e3
557	M02718_2.00	Sox17
558	M02719_2.00	Sox5
559	M02722_2.00	Spz1
560	M02768_2.00	Tfap2a
561	M02769_2.00	Tfap2a
562	M02770_2.00	Tfap2a
563	M02772_2.00	Mlxipl
564	M02784_2.00	Bhlhe23
565	M02793_2.00	Hey1
566	M02794_2.00	Mesp1;Mesp2
567	M02795_2.00	Neurod6
568	M02799_2.00	Neurog3
569	M02806_2.00	Olig1
570	M02814_2.00	Ascl2
571	M02815_2.00	Mlx
572	M02816_2.00	Srebf1
573	M02817_2.00	Bhlhe40
574	M02818_2.00	Bhlhe40
575	M02819_2.00	Tcf21
576	M02820_2.00	Atoh1
577	M02821_2.00	Mga
578	M02842_2.00	Creb3l1
579	M02860_2.00	Hlf
580	M02861_2.00	Jdp2
581	M02862_2.00	Jdp2
582	M02863_2.00	Creb3l2
583	M02864_2.00	Creb3l2
584	M02865_2.00	Atf4
585	M02866_2.00	Creb5
586	M02867_2.00	Cebpb
587	M02868_2.00	Dbp
588	M02869_2.00	Mafb
589	M02870_2.00	Mafb
590	M02871_2.00	Mafb
591	M02880_2.00	Glis3
592	M02881_2.00	Prdm4
593	M02889_2.00	Egr4
594	M02898_2.00	Sp8
595	M02901_2.00	Zbtb49
596	M02902_2.00	Hic2
597	M02903_2.00	Klf13
598	M02904_2.00	Zfp282
599	M02905_2.00	Zfp524
600	M02911_2.00	Glis1
601	M02912_2.00	Zic4
602	M02916_2.00	Zbtb18
603	M02918_2.00	Zfp784
604	M02920_2.00	Zbtb7c
605	M02925_2.00	Scrt2
606	M02929_2.00	Scrt1
607	M02930_2.00	Klf14
608	M02931_2.00	Egr3
609	M02932_2.00	Egr1
610	M02933_2.00	Hic1
611	M02934_2.00	Hic1
612	M02935_2.00	Zfp740
613	M02936_2.00	Zic3
614	M02937_2.00	Klf12
615	M02938_2.00	Zfp652
616	M02939_2.00	Cenpb
617	M02942_2.00	Onecut2
618	M02945_2.00	Onecut3
619	M02959_2.00	E2f8
620	M02968_2.00	Erf
621	M03009_2.00	Spic
622	M03010_2.00	Elk3
623	M03011_2.00	Elf5
624	M03026_2.00	Foxi2;Foxi3
625	M03052_2.00	Foxg1
626	M03053_2.00	Foxg1
627	M03054_2.00	Foxg1
628	M03055_2.00	Foxj3
629	M03056_2.00	Foxj3
630	M03057_2.00	Foxj3
631	M03058_2.00	Foxj3
632	M03059_2.00	Foxc1
633	M03060_2.00	Foxc1
634	M03061_2.00	Foxk1
635	M03062_2.00	Foxk1
636	M03067_2.00	Gcm2
637	M03071_2.00	Grhl1
638	M03078_2.00	Dlx6
639	M03080_2.00	Gsc2
640	M03199_2.00	Prrxl1
641	M03205_2.00	Gsx1
642	M03233_2.00	Hmx3
643	M03247_2.00	Hoxd13
644	M03248_2.00	Hoxd13
645	M03249_2.00	Otx1
646	M03250_2.00	Otx1
647	M03251_2.00	Hoxa2
648	M03252_2.00	Hoxc10
649	M03253_2.00	Hoxc10
650	M03254_2.00	Dlx2
651	M03255_2.00	Msx3
652	M03256_2.00	Msx3
653	M03257_2.00	Lhx4
654	M03258_2.00	Barhl1
655	M03259_2.00	Barhl1
656	M03260_2.00	Barhl1
657	M03261_2.00	Meis2
658	M03262_2.00	Meis2
659	M03263_2.00	Shox2
660	M03264_2.00	Uncx
661	M03265_2.00	Uncx
662	M03266_2.00	Irx3
663	M03267_2.00	Vsx1
664	M03268_2.00	Gbx2
665	M03269_2.00	Arx
666	M03270_2.00	Pknox2
667	M03271_2.00	Meox2
668	M03272_2.00	Alx1
669	M03273_2.00	Alx1
670	M03274_2.00	Hoxa11
671	M03275_2.00	Hoxa11
672	M03276_2.00	En2
673	M03277_2.00	Prrx2
674	M03278_2.00	Alx4
675	M03279_2.00	Meis3
676	M03280_2.00	Meis3
677	M03281_2.00	Dlx1
678	M03282_2.00	Hoxd9
679	M03283_2.00	Hoxd9
680	M03284_2.00	Hoxd9
681	M03285_2.00	Rhox11
682	M03286_2.00	Gbx1
683	M03287_2.00	Hoxd3
684	M03288_2.00	Lhx8
685	M03289_2.00	Lhx8
686	M03290_2.00	Lhx8
687	M03310_2.00	Pou4f2
688	M03312_2.00	Pou4f1
689	M03322_2.00	Pou2f2
690	M03323_2.00	Pou2f2
691	M03325_2.00	Hsf4
692	M03326_2.00	Hsfy2
693	M03329_2.00	Hsf3
694	M03379_2.00	Thrb
695	M03416_2.00	Rarg
696	M03417_2.00	Rarg
697	M03418_2.00	Rarg
698	M03419_2.00	Nr2f6
699	M03420_2.00	Nr2f6
700	M03421_2.00	Rxra
701	M03422_2.00	Rxra
702	M03423_2.00	Rarb
703	M03424_2.00	Rarb
704	M03425_2.00	Rarb
705	M03426_2.00	Hnf4a
706	M03427_2.00	Nr2e1
707	M03428_2.00	Nr2e1
708	M03429_2.00	Vdr
709	M03430_2.00	Esrra
710	M03431_2.00	Esrra
711	M03432_2.00	Rara
712	M03433_2.00	Rara
713	M03434_2.00	Rara
714	M03435_2.00	Rxrb
715	M03436_2.00	Ar
