	Motif_ID	TF_Names
276	M00462_2.00	Dlx6::Emx1::Gbx2::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Lbx1::Prrxl1
277	M00463_2.00	Hdx
278	M00464_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1::Tlx1::Tlx3::Vax2
279	M00465_2.00	Hesx1::Hmx3::Lbx1::Lbx2::Prrxl1
280	M00466_2.00	Nkx6-1::Nkx6-2
281	M00467_2.00	Arx::Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
282	M00468_2.00	Pknox2
283	M00469_2.00	Dlx6::Emx1::Gsx1::Gsx2::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1
284	M00470_2.00	Hoxc9
285	M00471_2.00	Alx1::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
286	M00472_2.00	Alx1::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
287	M00473_2.00	Hoxa13
288	M00474_2.00	Hoxa11::Hoxd12
289	M00475_2.00	Hoxa9
290	M00476_2.00	Hoxa7::Hoxd4
291	M00477_2.00	Hoxa7::Hoxd4
292	M00478_2.00	Emx1::Gsx1::Hmx3::Hoxa5::Hoxb1::Hoxb2::Hoxd4
293	M00479_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxb4::Hoxd4
294	M00480_2.00	Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxb5::Hoxd4
295	M00481_2.00	Hoxb7::Hoxd4
296	M00482_2.00	Hesx1::Lmx1b::Prrxl1
297	M00483_2.00	Six3
298	M00484_2.00	Dlx6::Emx1::En2::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1
299	M00485_2.00	Hlx
300	M00486_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrx2::Prrxl1
301	M00487_2.00	Alx4::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
302	M00488_2.00	Meis3
303	M00489_2.00	Crx::ENSMUSG00000097436::Gsc2::Rhox9
304	M00490_2.00	Obox6::Obox8
305	M00491_2.00	Dlx1::Dlx6::Gsx1::Hoxb1::Hoxb2
306	M00492_2.00	Dlx6::Gsx1::Hoxb1::Hoxb2::Hoxd1::Hoxd4
307	M00493_2.00	Hoxd11::Hoxd12
308	M00494_2.00	Hoxa6::Hoxd4
309	M00495_2.00	Dlx6::Emx1::Emx2::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1::Tlx1::Tlx3
310	M00496_2.00	Nkx2-6
311	M00497_2.00	Nkx2-3
312	M00498_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb1::Hoxb2::Lbx1::Prop1::Prrxl1
313	M00499_2.00	Dbx2
314	M00500_2.00	Tgif1
315	M00501_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Lbx1::Msx1::Prrxl1
316	M00502_2.00	Duxbl1::Duxbl2::Duxbl3
317	M00503_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Nkx1-2::Prrxl1::Tlx1::Tlx3
318	M00504_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxb3::Hoxd4::Prrxl1
319	M00505_2.00	Hoxb13
320	M00506_2.00	Nkx3-2
321	M00507_2.00	Emx1::Hesx1::Hmx2::Hmx3::Hoxd4::Tlx1::Tlx3
322	M00508_2.00	Hoxc12::Hoxd12
323	M00509_2.00	Hoxd10::Hoxd12
324	M00510_2.00	Rhox11
325	M00511_2.00	Rhox11
326	M00512_2.00	Six1::Six5
327	M00513_2.00	Pbx1::Pbx4
328	M00514_2.00	Nkx2-4
329	M00515_2.00	Obox1::Obox7
330	M00516_2.00	Bsx::Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1
331	M00517_2.00	Hoxb8::Hoxd4
332	M00518_2.00	Homez
333	M00519_2.00	Dlx6::Emx1::En1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1
334	M00520_2.00	Nkx2-9
335	M00521_2.00	Tgif2
336	M00522_2.00	Nkx6-2::Nkx6-3
337	M00523_2.00	Obox3::Obox7
338	M00524_2.00	Emx1::Gsx1::Hesx1::Hmx1::Hmx3::Hoxd4::Tlx1::Tlx3
339	M00525_2.00	Dlx6::Emx1::Gbx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Lbx1::Prrxl1
340	M00526_2.00	Emx1::Hmx3::Hoxd4::Tlx1::Tlx2::Tlx3
341	M00527_2.00	Obox5::Obox7
342	M00528_2.00	Obox5::Obox7
343	M00529_2.00	Obox7::Q8VHG7_MOUSE
344	M00530_2.00	Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxc4::Hoxd4
345	M00531_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd3::Hoxd4::Prrxl1
346	M00532_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxa3::Hoxb1::Hoxb2::Hoxd4::Prrxl1
347	M00533_2.00	Cphx1::Cphx2::Cphx3
348	M00534_2.00	Lhx8::Prrxl1
349	M00535_2.00	XP_003689450.1
350	M00537_2.00	Emx1::Hesx1::Hmx3::Hoxd4::Tlx1::Tlx3
351	M00538_2.00	Hoxd12
352	M00539_2.00	Prrxl1
353	M00540_2.00	Pax6
354	M00541_2.00	Pax3::Pax7
355	M00542_2.00	Pax4
356	M00543_2.00	Pou1f1
357	M00544_2.00	Pou2f2
358	M00545_2.00	ENSMUSG00000098598::Pou6f1
359	M00546_2.00	ENSMUSG00000098598::Pou6f1
360	M00547_2.00	Pou4f3
361	M00548_2.00	Pou2f1
362	M00549_2.00	Pou2f3
363	M00550_2.00	Pou3f4
364	M00551_2.00	Pou3f1
365	M00552_2.00	Pou3f2
366	M00553_2.00	Pou3f3
367	M00554_2.00	Hoxd12
368	M00555_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Lbx1::Prrxl1
369	M00556_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb1::Hoxb2::Hoxd4::Prrxl1
370	M00557_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1::Tlx1::Tlx3
371	M00561_2.00	Hesx1::Lbx1::Prrxl1::Tlx1::Tlx3
372	M00562_2.00	Gsc2
373	M00563_2.00	Six5
374	M00622_2.00	Egr4
375	M00656_2.00	Dmrt2::Dmrt3::Dmrta1::Dmrta2
376	M00659_2.00	Dmrt2::Dmrt3::Dmrta1::Dmrta2
377	M00664_2.00	Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxs1
378	M00665_2.00	Foxb2
379	M00671_2.00	Dlx6
380	M00672_2.00	Six5
381	M00673_2.00	ENSMUSG00000097436::Gsc2::Rhox9
382	M00674_2.00	ENSMUSG00000097436::Gsc2::Rhox9
383	M00678_2.00	Dlx6::Gsx1::Hoxb1::Hoxb2::Prrxl1
384	M00679_2.00	ENSMUSG00000097436::Gsc2::Rhox9
385	M00682_2.00	Hsf4
386	M00706_2.00	Pax8
387	M00709_2.00	Rfx8
388	M00750_2.00	Ahctf1::Hmga1::Hmga1-rs1
389	M00751_2.00	Hmga1::Hmga1-rs1::Hmga2
390	M00752_2.00	Mlx
391	M00753_2.00	Tcf3
392	M00754_2.00	Srebf1
393	M00755_2.00	Tfec
394	M00756_2.00	Nhlh2
395	M00757_2.00	Xbp1
396	M00758_2.00	Atf3
397	M00759_2.00	Atf4
398	M00760_2.00	Junb
399	M00761_2.00	Cebpb
400	M00762_2.00	Dbp
401	M00763_2.00	XP_002726925.1
402	M00764_2.00	Zscan20
403	M00765_2.00	Sp1::Sp8::Sp9
404	M00766_2.00	Zfp263
405	M00767_2.00	Zscan10
406	M00768_2.00	Zscan10
407	M00769_2.00	Zscan10
408	M00770_2.00	Zfp202
409	M00771_2.00	Zkscan1
410	M00772_2.00	Mzf1
411	M00773_2.00	Mzf1
412	M00774_2.00	Zfp300
413	M00775_2.00	Zbtb1
414	M00776_2.00	Egr3::Egr4
415	M00777_2.00	Klf13::Klf9
416	M00778_2.00	Egr2::Egr4
417	M00779_2.00	Klf8
418	M00780_2.00	Zic4::Zic5
419	M00781_2.00	Snai1
420	M00782_2.00	Zfp3
421	M00783_2.00	Dnajc21
422	M00784_2.00	Zfp740
423	M00785_2.00	Zkscan5
424	M00786_2.00	Zfp637
425	M00787_2.00	Klf12
426	M00788_2.00	Zfx
427	M00789_2.00	Dmrt2::Dmrt3::Dmrta1::Dmrta2::Dmrtc2
428	M00790_2.00	Foxi2::Foxi3::Foxj2::Foxk2::Foxp3
429	M00791_2.00	Foxd2::Foxd4::Foxe1::Foxg1::Foxi2::Foxi3::Foxk2::Foxs1
430	M00792_2.00	Foxp2::Foxp3::Foxp4
431	M00793_2.00	Foxk2::Foxp1::Foxp3::Foxp4
432	M00794_2.00	Foxo4
433	M00795_2.00	Foxo1
434	M00796_2.00	Foxc2::Foxd2::Foxd4::Foxe1::Foxf1::Foxf2::Foxi3::Foxk2::Foxs1
435	M00797_2.00	Foxo3::Foxp4
436	M00798_2.00	Foxo6::Foxp4
437	M00799_2.00	Gata4
438	M00800_2.00	Nkx2-9
439	M00801_2.00	Pou1f1
